timestamp,keyframe_id,symbol,x,y,z,q_w,q_x,q_y,q_z
1770115543.083,0,x1,-0.000,-0.000,0.000,1.000,-0.000,-0.000,0.000
1770115553.873,1,x108,0.517,-0.001,-0.001,1.000,-0.000,-0.000,0.000
1770115555.583,2,x125,1.026,0.002,0.000,1.000,0.000,0.000,-0.000
1770115557.275,3,x142,1.536,0.000,-0.000,1.000,0.000,-0.000,-0.000
1770115558.974,4,x159,2.046,-0.005,-0.002,1.000,-0.001,-0.000,0.000
1770115560.674,5,x176,2.559,-0.004,-0.001,1.000,-0.001,-0.001,0.000
1770115562.374,6,x193,3.064,-0.043,-0.001,0.993,-0.001,-0.001,-0.116
1770115564.083,7,x210,3.543,-0.224,-0.001,0.975,-0.000,-0.000,-0.224
1770115565.773,8,x227,3.978,-0.483,0.002,0.952,-0.000,-0.000,-0.305
1770115567.483,9,x244,4.366,-0.814,0.003,0.923,-0.000,0.000,-0.386
1770115569.183,10,x261,4.662,-1.225,0.001,0.847,-0.000,-0.001,-0.531
1770115571.083,11,x279,4.808,-1.778,0.004,0.736,-0.000,0.000,-0.677
1770115572.783,12,x296,4.827,-2.283,0.005,0.729,0.000,-0.000,-0.684
1770115574.483,13,x313,4.857,-2.794,0.005,0.714,-0.000,-0.001,-0.700
1770115576.183,14,x330,4.867,-3.300,0.004,0.714,-0.000,-0.000,-0.700
1770115577.884,15,x347,4.876,-3.813,0.005,0.714,-0.001,-0.001,-0.700
1770115579.583,16,x364,4.871,-4.328,0.004,0.683,-0.001,-0.000,-0.730
1770115581.373,17,x382,4.760,-4.850,0.007,0.557,-0.000,-0.000,-0.831
1770115583.183,18,x400,4.471,-5.300,0.011,-0.398,-0.001,-0.000,0.917
1770115584.984,19,x418,4.046,-5.619,0.009,-0.229,-0.001,0.000,0.974
1770115586.683,20,x435,3.567,-5.807,0.009,-0.142,-0.000,0.000,0.990
1770115588.376,21,x452,3.068,-5.903,0.010,-0.030,-0.001,-0.000,1.000
1770115590.083,22,x469,2.561,-5.878,0.009,0.058,-0.001,-0.000,0.998
1770115591.783,23,x486,2.050,-5.857,0.008,-0.006,-0.001,0.000,1.000
1770115593.473,24,x503,1.544,-5.862,0.007,-0.007,-0.001,0.000,1.000
1770115595.174,25,x520,1.035,-5.867,0.006,-0.007,-0.001,0.000,1.000
1770115596.883,26,x537,0.520,-5.858,0.005,0.047,-0.000,-0.001,0.999
1770115598.573,27,x554,0.019,-5.766,0.004,0.132,-0.000,-0.001,0.991
